"Wave_time","State","StateFIPS","Start_Date","End_Date","N_State","Current President","Your State Governor"
"Late Sept","Florida",12,2020-09-04,2020-09-30,873,34.38408945,32.97659898
"Late Sept","Georgia",13,2020-09-04,2020-09-30,566,37.10391351,35.76204082
"Late Sept","Hawaii",15,2020-09-04,2020-09-30,348,18.49155837,29.17291981
"Late Sept","Iowa",19,2020-09-04,2020-09-30,327,40.63051599,30.25549342
"Late Sept","Idaho",16,2020-09-04,2020-09-30,373,43.39184783,43.14016682
"Late Sept","Illinois",17,2020-09-04,2020-09-30,620,28.15834115,50.62167862
"Late Sept","Indiana",18,2020-09-04,2020-09-30,455,39.08944367,45.41700841
"Late Sept","Kansas",20,2020-09-04,2020-09-30,427,37.69419123,50.93239255
"Late Sept","Kentucky",21,2020-09-04,2020-09-30,349,45.29775496,57.88104761
"Late Sept","Louisiana",22,2020-09-04,2020-09-30,331,42.23888755,44.84703495
"Late Sept","Massachusetts",25,2020-09-04,2020-09-30,485,26.61879872,68.8487032
"Late Sept","Maryland",24,2020-09-04,2020-09-30,521,25.57064649,66.25620968
"Late Sept","Maine",23,2020-09-04,2020-09-30,315,35.67424789,55.08151925
"Late Sept","Michigan",26,2020-09-04,2020-09-30,429,33.31906873,55.86823538
