FIPS_x,Years of Potential Life Lost Rate (premature death),% Fair/Poor Health,percent_smokers,percent_obese,Food Environment Index,% Physically Inactive,percent Excessive Drinking,Percent Uninsured,PCP Rate,Preventable Hosp stays Rate,Percent Vaccinated Flu,High School Graduation Rate,Percent Some College,Percent Unemployed,Income Ratio,Average Daily PM2.5,Presence of water violation,Percent Severe Housing Problems,Severe Housing Cost Burden,Overcrowding,Inadequate Facilities,Life Expectancy,Number pre-mature Deaths,Percent Diabetic,HIV Prevalence Rate,Percent Food Insecure,Percent Insufficient Sleep,Percent Uninsured Adults,Percent Uninsured children,Median Household Income,Segregation Index non-white/ white,Population,percent < 18,percent 65 and over,percent African American,percent American Indian/Alaskan Native,percent Asian,percent Native Hawaiian/Other Pacific Islander,percent Hispanic,percent Non-Hispanic White,percent Not Proficient in English,percent Female,number Rural,State,cases_2022,Masks,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_65PlusPop_Pct
19099,7090.0,12,15,34,8.4,25,20,4.0,41.0,3489.0,57.0,91.0,62,3.1,3.8,9.4,No,11,10,1,1,79.1,493.0,11,97.0,11,27,5.0,2.0,56134.0,26.0,36966,22.5,19.0,2.1,0.4,0.7,0.1,2.2,93.6,0,48.8,21187.0,IA,10138.836791259782,82.0,54.5,86.1
19103,4474.0,12,14,25,7.9,17,25,5.0,172.0,3118.0,61.0,90.0,83,2.5,5.5,9.3,Yes,19,17,2,1,82.7,943.0,6,125.0,14,27,6.0,3.0,61395.0,39.0,149210,20.2,11.2,6.8,0.4,6.6,0.0,5.7,78.6,2,50.4,24261.0,IA,43856.401173349564,82.0,67.3,98.6
19105,5658.0,12,16,40,8.2,26,21,5.0,44.0,3626.0,37.0,92.0,64,3.7,3.6,10.0,No,8,7,1,1,81.1,212.0,10,93.0,11,26,6.0,2.0,58689.0,30.0,20536,21.8,20.1,2.3,0.4,0.7,0.0,2.0,93.9,0,48.3,11961.0,IA,6347.465394111699,82.0,55.3,86.2
19111,9479.0,15,17,38,7.5,28,19,4.0,61.0,4417.0,50.0,91.0,63,5.5,4.0,10.7,Yes,11,9,1,2,76.0,589.0,12,34.0,14,30,5.0,2.0,50481.0,38.0,34295,21.5,19.6,3.1,0.3,0.6,0.0,3.6,90.7,0,49.6,14566.0,IA,8994.757399043445,82.0,48.0,87.4
19113,5840.0,12,15,33,8.3,23,21,4.0,61.0,4021.0,58.0,89.0,76,3.4,4.0,9.7,No,11,9,1,1,80.3,2164.0,10,122.0,11,27,4.0,2.0,63754.0,31.0,224115,23.5,15.4,5.4,0.3,2.5,0.1,3.3,86.1,1,50.7,26927.0,IA,63180.10167001049,82.0,61.7,92.1
19115,7652.0,14,16,36,9.0,27,20,8.0,9.0,3139.0,55.0,86.0,52,3.3,3.8,10.5,No,13,7,5,2,78.3,139.0,9,75.0,9,28,9.0,5.0,56067.0,51.0,11184,22.8,17.7,0.8,0.4,3.7,0.1,15.9,78.4,6,49.0,11387.0,IA,2890.248325710681,82.0,48.4,81.2
19121,5341.0,12,14,37,8.7,26,21,5.0,63.0,4905.0,36.0,95.0,76,3.6,4.0,8.8,No,9,7,1,1,79.7,167.0,10,85.0,10,28,5.0,3.0,66012.0,23.0,16013,25.1,16.6,0.5,0.4,0.6,0.0,2.3,95.2,0,50.0,10636.0,IA,3613.3676615732775,82.0,50.6,88.8
19123,7119.0,12,16,32,7.7,24,20,4.0,59.0,3882.0,53.0,91.0,64,3.3,4.8,9.6,No,11,9,1,1,78.7,272.0,12,38.0,13,28,5.0,2.0,55947.0,45.0,22235,24.3,17.7,1.7,0.4,1.5,0.1,2.1,93.2,1,49.4,9836.0,IA,5656.49721400793,82.0,40.9,78.9
19125,5425.0,11,14,33,8.6,24,21,4.0,87.0,3071.0,54.0,97.0,75,2.7,3.7,9.4,No,11,10,1,1,79.3,348.0,9,44.0,11,27,4.0,2.0,61175.0,34.0,33105,23.7,17.6,0.8,0.2,1.4,0.0,2.0,94.6,0,50.2,16218.0,IA,8696.74830764452,82.0,49.4,87.1
19127,6019.0,15,14,34,8.7,26,18,8.0,55.0,2249.0,56.0,91.0,53,4.6,3.8,9.3,No,11,7,3,1,78.3,511.0,12,78.0,9,26,9.0,3.0,50495.0,38.0,40288,25.5,17.8,1.9,0.8,3.9,0.2,22.3,70.2,7,49.4,13790.0,IA,11066.885938822275,82.0,60.0,94.3
